epoch;loss
0;3.7844979353440116
1;3.3142734335019037
2;3.102243852309692
3;2.959561860561371
4;2.8521394423949413
5;2.7518451009041223
6;2.675251212792519
7;2.6098373217460438
8;2.547970895583813
9;2.5069673466376767
10;2.474026862016091
11;2.419837671976823
12;2.3806954538210845
13;2.345977182418872
14;2.3157569263225946
15;2.287354010954881
16;2.261337828483337
17;2.234217396302101
18;2.212584790816674
19;2.195126918034676
0;3.5579999355169445
1;3.0263339491990897
2;2.8052636785384935
3;2.661462169732803
4;2.5558371580564057
5;2.4711430191993715
6;2.4005014936129254
7;2.339887035198701
8;2.2883369560425098
9;2.2432978032491144
10;2.202061689664156
11;2.1654986387644057
12;2.1333373305125116
13;2.1041625157380714
14;2.075865817987002
15;2.05221937191792
16;2.0291142304738363
17;2.0064777232133424
18;1.9860647678375245
19;1.9664988577365876
0;3.5579999324602958
1;3.026333942474463
2;2.805288493938935
3;2.6617675848496267
4;2.5562380934372926
5;2.469825967000081
6;2.3987719974456687
7;2.3382140110700558
8;2.287186364485667
9;2.242586119969686
10;2.2022071946889925
11;2.1664385132300548
12;2.1346553397484316
13;2.104005485925919
14;2.0770593527035834
15;2.052691552119377
16;2.0294968550021832
17;2.0073914515666473
18;1.9869157775854454
19;1.9671557733645806
